date,day_of_week,month,is_weekend,location,shelter_density,donor_activity_index,food_category,temperature_celsius,beneficiaries_count,historical_demand_lag1,historical_demand_lag7,meals_demanded
2025-02-02,6,2,1,Rohini,7,3.33,BEVERAGES,16.9,39,36,46,112
2025-02-03,0,2,0,Dwarka,5,2.53,COOKED_MEALS,17.8,79,88,79,128
2025-02-04,1,2,0,South Extension,6,4.67,COOKED_MEALS,20.5,23,23,24,87
2025-02-05,2,2,0,Karol Bagh,9,2.31,PACKAGED_FOOD,12.4,25,24,25,86
2025-02-06,3,2,0,Karol Bagh,9,2.54,PRODUCE_FRUITS,14.0,106,100,96,176
2025-02-07,4,2,0,Lodhi Colony,7,2.54,OTHER,21.4,16,15,19,75
2025-02-08,5,2,1,South Extension,6,1.74,BAKERY,17.1,31,35,35,108
2025-02-09,6,2,1,Lajpat Nagar,8,2.95,PACKAGED_FOOD,19.0,93,106,104,176
2025-02-10,0,2,0,Karol Bagh,9,1.53,OTHER,17.5,99,87,113,157
2025-02-11,1,2,0,Dwarka,5,3.33,PRODUCE_FRUITS,14.8,41,43,36,102
2025-02-12,2,2,0,Dwarka,5,4.31,PACKAGED_FOOD,16.9,21,18,20,67
2025-02-13,3,2,0,Rohini,7,1.93,PRODUCE_FRUITS,13.6,71,72,68,121
2025-02-14,4,2,0,South Extension,6,1.87,BEVERAGES,21.0,84,72,79,123
2025-02-15,5,2,1,South Extension,6,2.52,OTHER,21.7,20,22,17,92
2025-02-16,6,2,1,Lajpat Nagar,8,3.7,PRODUCE_FRUITS,19.8,67,76,73,161
2025-02-17,0,2,0,Lajpat Nagar,8,4.72,OTHER,13.8,67,57,73,127
2025-02-18,1,2,0,Connaught Place,4,4.08,DAIRY,20.0,109,119,98,156
2025-02-19,2,2,0,Rohini,7,1.63,DAIRY,14.2,119,133,111,166
2025-02-20,3,2,0,Rohini,7,4.12,BAKERY,14.2,99,89,92,171
2025-02-21,4,2,0,Connaught Place,4,2.66,PACKAGED_FOOD,16.0,83,78,67,107
2025-02-22,5,2,1,Connaught Place,4,2.09,PRODUCE_FRUITS,12.4,91,89,99,152
2025-02-23,6,2,1,Karol Bagh,9,1.88,PACKAGED_FOOD,13.9,20,21,16,114
2025-02-24,0,2,0,Rohini,7,3.28,BEVERAGES,21.4,109,114,103,177
2025-02-25,1,2,0,Connaught Place,4,3.56,BEVERAGES,20.5,107,119,107,157
2025-02-26,2,2,0,Dwarka,5,2.85,DAIRY,19.0,85,75,82,142
2025-02-27,3,2,0,Lajpat Nagar,8,3.53,PRODUCE_FRUITS,16.1,15,14,13,68
2025-02-28,4,2,0,Rohini,7,3.41,BEVERAGES,15.2,71,69,62,109
2025-03-01,5,3,1,Rohini,7,3.93,BEVERAGES,24.8,80,83,83,170
2025-03-02,6,3,1,South Extension,6,4.2,OTHER,26.3,54,49,47,143
2025-03-03,0,3,0,Lodhi Colony,7,3.52,OTHER,24.7,68,75,70,126
2025-03-04,1,3,0,Dwarka,5,3.8,DAIRY,28.0,33,34,26,81
2025-03-05,2,3,0,South Extension,6,4.07,BAKERY,25.8,104,104,85,147
2025-03-06,3,3,0,Lajpat Nagar,8,4.53,COOKED_MEALS,28.6,117,115,118,189
2025-03-07,4,3,0,Rohini,7,4.44,PACKAGED_FOOD,32.2,79,77,91,139
2025-03-08,5,3,1,Lodhi Colony,7,4.46,BEVERAGES,32.6,72,66,64,154
2025-03-09,6,3,1,Karol Bagh,9,3.1,BAKERY,26.7,24,25,21,105
2025-03-10,0,3,0,Connaught Place,4,2.56,PACKAGED_FOOD,24.8,34,31,36,72
2025-03-11,1,3,0,Lodhi Colony,7,2.59,DAIRY,28.2,41,45,39,92
2025-03-12,2,3,0,Rohini,7,3.43,BEVERAGES,24.2,112,114,110,177
2025-03-13,3,3,0,Lodhi Colony,7,4.32,OTHER,28.2,110,117,123,171
2025-03-14,4,3,0,Lajpat Nagar,8,3.11,PRODUCE_FRUITS,28.4,18,17,19,81
2025-03-15,5,3,1,Rohini,7,3.04,BAKERY,33.8,83,71,79,158
2025-03-16,6,3,1,Karol Bagh,9,3.69,COOKED_MEALS,30.4,32,35,27,136
2025-03-17,0,3,0,Lodhi Colony,7,2.58,OTHER,32.8,50,53,56,113
2025-03-18,1,3,0,Connaught Place,4,4.26,DAIRY,24.2,84,72,99,131
2025-03-19,2,3,0,Dwarka,5,1.63,COOKED_MEALS,33.5,40,44,41,96
2025-03-20,3,3,0,Lajpat Nagar,8,1.92,BEVERAGES,25.1,42,41,37,90
2025-03-21,4,3,0,Dwarka,5,3.87,OTHER,32.2,54,47,43,113
2025-03-22,5,3,1,Connaught Place,4,3.4,DAIRY,28.0,106,96,109,183
2025-03-23,6,3,1,Dwarka,5,4.05,OTHER,30.8,118,104,140,195
2025-03-24,0,3,0,Rohini,7,1.64,PACKAGED_FOOD,28.3,62,53,65,122
2025-03-25,1,3,0,Lodhi Colony,7,1.85,PRODUCE_FRUITS,30.4,73,77,71,127
2025-03-26,2,3,0,Dwarka,5,3.22,BEVERAGES,26.7,118,132,130,154
2025-03-27,3,3,0,Karol Bagh,9,2.39,OTHER,26.5,26,24,25,90
2025-03-28,4,3,0,Rohini,7,3.03,PACKAGED_FOOD,30.7,58,49,66,117
2025-03-29,5,3,1,Rohini,7,2.35,PRODUCE_FRUITS,32.8,104,115,106,194
2025-03-30,6,3,1,Karol Bagh,9,4.63,COOKED_MEALS,26.4,67,66,73,171
2025-03-31,0,3,0,Lodhi Colony,7,2.98,COOKED_MEALS,24.9,43,41,38,97
2025-04-01,1,4,0,Dwarka,5,3.42,DAIRY,29.5,59,57,64,102
2025-04-02,2,4,0,Connaught Place,4,2.51,BAKERY,25.2,39,36,42,89
2025-04-03,3,4,0,Rohini,7,3.78,BAKERY,26.2,76,70,78,136
2025-04-04,4,4,0,South Extension,6,4.25,PRODUCE_FRUITS,26.3,37,34,40,80
2025-04-05,5,4,1,Lajpat Nagar,8,2.41,COOKED_MEALS,29.5,104,117,109,203
2025-04-06,6,4,1,South Extension,6,3.39,DAIRY,28.8,58,52,47,135
2025-04-07,0,4,0,Rohini,7,3.08,OTHER,24.7,77,67,80,138
2025-04-08,1,4,0,Karol Bagh,9,4.63,COOKED_MEALS,33.9,30,30,28,112
2025-04-09,2,4,0,Karol Bagh,9,4.11,BAKERY,31.8,63,62,61,148
2025-04-10,3,4,0,Connaught Place,4,3.38,COOKED_MEALS,30.1,109,95,120,147
2025-04-11,4,4,0,Dwarka,5,2.2,BEVERAGES,24.8,45,40,37,97
2025-04-12,5,4,1,Karol Bagh,9,3.05,COOKED_MEALS,26.3,105,98,120,210
2025-04-13,6,4,1,South Extension,6,3.77,PRODUCE_FRUITS,31.9,95,97,106,181
2025-04-14,0,4,0,Lajpat Nagar,8,3.64,PRODUCE_FRUITS,32.3,24,20,26,90
2025-04-15,1,4,0,Karol Bagh,9,3.97,PACKAGED_FOOD,33.2,71,62,76,135
2025-04-16,2,4,0,Karol Bagh,9,3.28,DAIRY,24.8,20,22,21,65
2025-04-17,3,4,0,Karol Bagh,9,2.33,COOKED_MEALS,26.3,101,111,104,206
2025-04-18,4,4,0,Dwarka,5,4.21,PACKAGED_FOOD,24.4,111,100,111,154
2025-04-19,5,4,1,Lodhi Colony,7,4.52,BAKERY,34.0,70,72,69,167
2025-04-20,6,4,1,Connaught Place,4,2.56,COOKED_MEALS,32.6,57,55,56,141
2025-04-21,0,4,0,Dwarka,5,4.62,OTHER,31.6,19,18,17,61
2025-04-22,1,4,0,Lodhi Colony,7,4.35,OTHER,33.9,99,109,97,182
2025-04-23,2,4,0,South Extension,6,2.12,PRODUCE_FRUITS,30.2,78,80,86,131
2025-04-24,3,4,0,Connaught Place,4,2.95,BEVERAGES,28.8,18,20,18,68
2025-04-25,4,4,0,Lajpat Nagar,8,3.84,PRODUCE_FRUITS,29.5,85,82,75,152
2025-04-26,5,4,1,South Extension,6,3.64,BAKERY,29.0,106,99,114,187
2025-04-27,6,4,1,Lodhi Colony,7,4.25,DAIRY,26.4,85,75,74,163
2025-04-28,0,4,0,Lajpat Nagar,8,4.35,PRODUCE_FRUITS,31.7,68,64,75,126
2025-04-29,1,4,0,Connaught Place,4,4.21,PRODUCE_FRUITS,31.3,90,92,95,145
2025-04-30,2,4,0,Lodhi Colony,7,2.64,PACKAGED_FOOD,31.6,63,62,58,112
2025-05-01,3,5,0,Lajpat Nagar,8,4.74,BAKERY,38.9,44,48,42,108
2025-05-02,4,5,0,Rohini,7,2.76,BEVERAGES,41.5,98,112,97,167
2025-05-03,5,5,1,South Extension,6,1.92,PACKAGED_FOOD,36.0,27,30,26,95
2025-05-04,6,5,1,Dwarka,5,1.98,OTHER,39.9,34,29,37,106
2025-05-05,0,5,0,Connaught Place,4,2.62,BEVERAGES,36.8,25,27,28,72
2025-05-06,1,5,0,Connaught Place,4,3.57,OTHER,37.9,84,72,69,126
2025-05-07,2,5,0,Dwarka,5,3.76,PRODUCE_FRUITS,44.0,110,96,131,167
2025-05-08,3,5,0,South Extension,6,2.96,BEVERAGES,35.6,18,15,20,57
2025-05-09,4,5,0,Connaught Place,4,2.68,DAIRY,33.7,82,79,87,128
2025-05-10,5,5,1,Karol Bagh,9,4.37,PACKAGED_FOOD,40.2,78,87,66,184
2025-05-11,6,5,1,Lodhi Colony,7,3.61,DAIRY,35.1,16,17,15,99
2025-05-12,0,5,0,South Extension,6,2.96,PRODUCE_FRUITS,43.9,53,55,51,118
2025-05-13,1,5,0,Connaught Place,4,3.01,PRODUCE_FRUITS,34.4,64,70,53,103
2025-05-14,2,5,0,Connaught Place,4,4.78,PRODUCE_FRUITS,32.3,99,95,79,155
2025-05-15,3,5,0,Rohini,7,3.76,BEVERAGES,43.7,92,98,104,167
2025-05-16,4,5,0,Lajpat Nagar,8,3.5,PRODUCE_FRUITS,34.6,39,40,41,94
2025-05-17,5,5,1,Dwarka,5,4.03,BEVERAGES,42.1,95,83,99,192
2025-05-18,6,5,1,South Extension,6,3.41,BEVERAGES,33.6,52,49,50,137
2025-05-19,0,5,0,Lajpat Nagar,8,1.94,PACKAGED_FOOD,42.5,61,61,71,125
2025-05-20,1,5,0,Rohini,7,4.62,OTHER,35.5,58,63,57,116
2025-05-21,2,5,0,South Extension,6,1.96,BAKERY,42.3,107,112,102,167
2025-05-22,3,5,0,South Extension,6,4.11,COOKED_MEALS,35.2,30,29,32,87
2025-05-23,4,5,0,Dwarka,5,2.37,DAIRY,41.9,62,54,55,127
2025-05-24,5,5,1,Karol Bagh,9,2.58,PACKAGED_FOOD,34.7,23,23,22,117
2025-05-25,6,5,1,Dwarka,5,2.5,DAIRY,33.4,20,22,18,89
2025-05-26,0,5,0,Karol Bagh,9,1.95,DAIRY,36.5,110,116,111,177
2025-05-27,1,5,0,Karol Bagh,9,3.95,BAKERY,42.6,98,86,97,155
2025-05-28,2,5,0,South Extension,6,3.78,BAKERY,37.3,45,49,37,111
2025-05-29,3,5,0,Dwarka,5,2.71,BEVERAGES,36.3,65,60,77,128
2025-05-30,4,5,0,South Extension,6,3.69,BEVERAGES,39.7,17,14,15,67
2025-05-31,5,5,1,Lajpat Nagar,8,4.1,BAKERY,32.8,112,113,115,210
2025-06-01,6,6,1,Rohini,7,1.99,PACKAGED_FOOD,32.0,33,37,33,108
2025-06-02,0,6,0,Rohini,7,2.08,BEVERAGES,42.4,31,26,34,87
2025-06-03,1,6,0,Lajpat Nagar,8,2.38,BAKERY,40.9,82,72,67,152
2025-06-04,2,6,0,Lodhi Colony,7,4.07,PACKAGED_FOOD,39.1,72,72,84,148
2025-06-05,3,6,0,Rohini,7,3.67,PRODUCE_FRUITS,37.5,18,15,17,80
2025-06-06,4,6,0,Lodhi Colony,7,2.91,COOKED_MEALS,37.9,71,61,59,138
2025-06-07,5,6,1,Connaught Place,4,3.56,PACKAGED_FOOD,38.6,56,53,58,129
2025-06-08,6,6,1,Connaught Place,4,3.0,PACKAGED_FOOD,37.2,116,123,132,184
2025-06-09,0,6,0,Dwarka,5,4.36,DAIRY,37.4,44,42,49,86
2025-06-10,1,6,0,Lodhi Colony,7,2.87,COOKED_MEALS,35.8,55,57,52,133
2025-06-11,2,6,0,South Extension,6,1.8,COOKED_MEALS,33.1,27,28,25,99
2025-06-12,3,6,0,Lajpat Nagar,8,3.34,PACKAGED_FOOD,43.5,86,81,73,146
2025-06-13,4,6,0,Rohini,7,2.9,BEVERAGES,32.6,51,52,47,117
2025-06-14,5,6,1,Karol Bagh,9,3.17,BAKERY,39.9,43,47,40,135
2025-06-15,6,6,1,Connaught Place,4,3.39,OTHER,37.1,86,98,96,160
2025-06-16,0,6,0,Karol Bagh,9,3.73,PACKAGED_FOOD,32.3,99,108,89,175
2025-06-17,1,6,0,Connaught Place,4,4.54,PRODUCE_FRUITS,32.1,33,33,31,91
2025-06-18,2,6,0,Lajpat Nagar,8,3.95,COOKED_MEALS,33.1,82,74,79,154
2025-06-19,3,6,0,Dwarka,5,2.57,PACKAGED_FOOD,39.2,21,18,23,74
2025-06-20,4,6,0,South Extension,6,3.72,PRODUCE_FRUITS,37.3,69,68,67,124
2025-06-21,5,6,1,South Extension,6,2.64,COOKED_MEALS,35.4,101,103,102,207
2025-06-22,6,6,1,Connaught Place,4,1.65,DAIRY,43.8,22,18,20,91
2025-06-23,0,6,0,Connaught Place,4,2.46,COOKED_MEALS,32.1,110,107,93,169
2025-06-24,1,6,0,Karol Bagh,9,3.82,PACKAGED_FOOD,38.7,100,109,82,174
2025-06-25,2,6,0,South Extension,6,3.02,COOKED_MEALS,42.3,88,86,84,153
2025-06-26,3,6,0,Dwarka,5,2.88,COOKED_MEALS,36.9,56,50,66,103
2025-06-27,4,6,0,Connaught Place,4,1.79,OTHER,33.3,70,71,70,114
2025-06-28,5,6,1,Lodhi Colony,7,4.37,BEVERAGES,36.1,57,61,47,141
2025-06-29,6,6,1,Lajpat Nagar,8,4.49,PRODUCE_FRUITS,36.2,119,124,102,210
2025-06-30,0,6,0,South Extension,6,1.98,BAKERY,34.1,34,36,36,89
2025-07-01,1,7,0,Lodhi Colony,7,3.03,PACKAGED_FOOD,41.1,72,75,83,144
2025-07-02,2,7,0,Dwarka,5,3.6,PACKAGED_FOOD,35.9,95,89,92,137
2025-07-03,3,7,0,Rohini,7,2.41,COOKED_MEALS,36.2,24,22,23,91
2025-07-04,4,7,0,South Extension,6,2.72,PRODUCE_FRUITS,32.9,26,26,26,66
2025-07-05,5,7,1,Rohini,7,3.94,COOKED_MEALS,37.4,118,120,103,223
2025-07-06,6,7,1,Karol Bagh,9,3.07,BAKERY,43.5,72,63,83,163
2025-07-07,0,7,0,Karol Bagh,9,3.63,COOKED_MEALS,35.0,71,81,71,161
2025-07-08,1,7,0,Karol Bagh,9,2.02,PRODUCE_FRUITS,43.0,64,62,59,118
2025-07-09,2,7,0,Dwarka,5,2.6,PRODUCE_FRUITS,33.1,101,97,90,142
2025-07-10,3,7,0,Rohini,7,3.67,PACKAGED_FOOD,42.5,57,49,60,125
2025-07-11,4,7,0,Dwarka,5,3.8,DAIRY,33.5,105,118,97,155
2025-07-12,5,7,1,Lodhi Colony,7,3.62,PRODUCE_FRUITS,41.8,100,106,117,209
2025-07-13,6,7,1,South Extension,6,3.63,DAIRY,38.1,17,16,14,99
2025-07-14,0,7,0,Lajpat Nagar,8,2.63,OTHER,37.8,43,49,37,100
2025-07-15,1,7,0,Karol Bagh,9,4.04,OTHER,40.9,82,70,76,168
2025-07-16,2,7,0,Rohini,7,3.54,PACKAGED_FOOD,36.5,35,31,37,81
2025-07-17,3,7,0,Dwarka,5,2.94,DAIRY,36.4,107,98,104,146
2025-07-18,4,7,0,Connaught Place,4,3.98,OTHER,37.4,83,76,98,136
2025-07-19,5,7,1,Lajpat Nagar,8,2.71,PACKAGED_FOOD,43.8,74,79,82,149
2025-07-20,6,7,1,Karol Bagh,9,3.24,BAKERY,41.8,117,120,134,226
2025-07-21,0,7,0,Connaught Place,4,3.33,COOKED_MEALS,40.5,81,89,74,142
2025-07-22,1,7,0,Rohini,7,2.03,DAIRY,42.9,33,36,27,101
2025-07-23,2,7,0,Connaught Place,4,4.57,DAIRY,32.6,79,76,75,121
2025-07-24,3,7,0,South Extension,6,2.74,COOKED_MEALS,35.8,27,29,28,89
2025-07-25,4,7,0,Connaught Place,4,4.53,DAIRY,40.4,32,34,31,77
2025-07-26,5,7,1,Karol Bagh,9,1.52,COOKED_MEALS,32.2,42,46,42,139
2025-07-27,6,7,1,South Extension,6,4.06,BAKERY,35.6,21,19,22,94
2025-07-28,0,7,0,Karol Bagh,9,3.01,COOKED_MEALS,42.0,78,80,62,152
2025-07-29,1,7,0,Lajpat Nagar,8,2.46,COOKED_MEALS,39.4,45,45,39,115
2025-07-30,2,7,0,Dwarka,5,1.78,PRODUCE_FRUITS,32.8,82,83,91,126
2025-07-31,3,7,0,Rohini,7,3.05,BEVERAGES,36.6,62,57,50,120
2025-08-01,4,8,0,Rohini,7,1.72,BAKERY,31.3,95,83,98,150
2025-08-02,5,8,1,Connaught Place,4,3.3,OTHER,30.4,114,120,135,185
2025-08-03,6,8,1,Lodhi Colony,7,3.58,OTHER,25.3,106,114,104,193
2025-08-04,0,8,0,Lajpat Nagar,8,4.42,PRODUCE_FRUITS,33.3,80,77,90,150
2025-08-05,1,8,0,Lodhi Colony,7,2.34,OTHER,30.5,51,48,56,110
2025-08-06,2,8,0,South Extension,6,4.14,DAIRY,32.9,110,108,130,164
2025-08-07,3,8,0,Connaught Place,4,4.71,DAIRY,30.9,62,69,62,115
2025-08-08,4,8,0,South Extension,6,2.92,OTHER,25.8,52,49,43,90
2025-08-09,5,8,1,Dwarka,5,2.48,DAIRY,30.0,69,62,67,131
2025-08-10,6,8,1,Connaught Place,4,3.53,DAIRY,26.7,116,131,96,195
2025-08-11,0,8,0,Dwarka,5,2.84,PACKAGED_FOOD,32.0,101,90,82,158
2025-08-12,1,8,0,Lodhi Colony,7,1.61,COOKED_MEALS,26.4,97,93,92,150
2025-08-13,2,8,0,Karol Bagh,9,1.61,BAKERY,30.8,62,59,68,115
2025-08-14,3,8,0,Lodhi Colony,7,2.54,PRODUCE_FRUITS,26.5,29,24,25,77
2025-08-15,4,8,0,Karol Bagh,9,2.78,PACKAGED_FOOD,25.2,114,105,111,187
2025-08-16,5,8,1,Lodhi Colony,7,2.16,BAKERY,32.5,72,64,78,155
2025-08-17,6,8,1,South Extension,6,4.17,OTHER,33.9,100,95,82,171
2025-08-18,0,8,0,Rohini,7,2.02,BEVERAGES,33.3,96,86,90,148
2025-08-19,1,8,0,Lajpat Nagar,8,1.9,BAKERY,31.9,45,48,36,95
2025-08-20,2,8,0,Rohini,7,4.74,BAKERY,30.1,26,22,24,84
2025-08-21,3,8,0,Dwarka,5,3.87,PACKAGED_FOOD,28.1,67,73,55,129
2025-08-22,4,8,0,Lodhi Colony,7,3.04,PACKAGED_FOOD,27.4,114,115,118,171
2025-08-23,5,8,1,Rohini,7,4.69,DAIRY,29.0,22,24,22,108
2025-08-24,6,8,1,Dwarka,5,2.24,PACKAGED_FOOD,32.9,25,23,26,102
2025-08-25,0,8,0,Karol Bagh,9,2.41,BEVERAGES,27.0,83,72,87,138
2025-08-26,1,8,0,Lajpat Nagar,8,3.67,BEVERAGES,33.0,58,63,59,116
2025-08-27,2,8,0,Rohini,7,4.35,COOKED_MEALS,24.5,97,104,87,171
2025-08-28,3,8,0,Karol Bagh,9,3.61,DAIRY,32.9,84,78,99,164
2025-08-29,4,8,0,Lodhi Colony,7,2.31,OTHER,30.8,53,52,56,112
2025-08-30,5,8,1,Lodhi Colony,7,2.17,PACKAGED_FOOD,25.4,106,100,126,196
2025-08-31,6,8,1,Connaught Place,4,4.72,BAKERY,31.6,80,81,74,152
2025-09-01,0,9,0,Lajpat Nagar,8,1.96,COOKED_MEALS,26.9,64,70,61,133
2025-09-02,1,9,0,Rohini,7,4.48,OTHER,27.3,88,93,77,164
2025-09-03,2,9,0,Lodhi Colony,7,3.15,PRODUCE_FRUITS,29.0,26,29,26,104
2025-09-04,3,9,0,Lajpat Nagar,8,2.21,PRODUCE_FRUITS,24.5,51,50,58,103
2025-09-05,4,9,0,Karol Bagh,9,1.53,COOKED_MEALS,28.3,48,51,53,110
2025-09-06,5,9,1,Connaught Place,4,1.65,COOKED_MEALS,29.7,39,37,35,108
2025-09-07,6,9,1,Karol Bagh,9,2.42,PACKAGED_FOOD,30.8,30,26,25,126
2025-09-08,0,9,0,Connaught Place,4,4.12,PRODUCE_FRUITS,29.6,61,65,53,98
2025-09-09,1,9,0,South Extension,6,1.63,BEVERAGES,27.3,75,75,64,122
2025-09-10,2,9,0,Karol Bagh,9,1.96,PACKAGED_FOOD,27.2,65,74,71,125
2025-09-11,3,9,0,Rohini,7,3.18,DAIRY,31.1,53,52,42,117
2025-09-12,4,9,0,Connaught Place,4,3.72,DAIRY,29.8,116,129,133,157
2025-09-13,5,9,1,Connaught Place,4,4.69,OTHER,33.7,89,91,96,160
2025-09-14,6,9,1,Karol Bagh,9,3.09,PACKAGED_FOOD,30.3,94,101,89,192
2025-09-15,0,9,0,Karol Bagh,9,4.63,COOKED_MEALS,25.9,71,67,61,146
2025-09-16,1,9,0,Dwarka,5,2.17,PACKAGED_FOOD,31.7,75,83,82,125
2025-09-17,2,9,0,Lajpat Nagar,8,3.35,BEVERAGES,28.8,63,59,54,127
2025-09-18,3,9,0,Karol Bagh,9,2.63,PRODUCE_FRUITS,30.8,107,112,119,173
2025-09-19,4,9,0,Lajpat Nagar,8,2.42,PRODUCE_FRUITS,26.2,53,57,57,120
2025-09-20,5,9,1,Dwarka,5,3.83,PRODUCE_FRUITS,28.8,86,97,96,165
2025-09-21,6,9,1,Dwarka,5,3.29,DAIRY,32.2,113,123,103,197
2025-09-22,0,9,0,Connaught Place,4,4.65,COOKED_MEALS,27.5,71,74,78,133
2025-09-23,1,9,0,Connaught Place,4,4.58,BEVERAGES,26.7,28,28,28,88
2025-09-24,2,9,0,Lajpat Nagar,8,1.67,PACKAGED_FOOD,26.3,44,38,42,98
2025-09-25,3,9,0,Rohini,7,1.95,PACKAGED_FOOD,33.8,35,34,41,84
2025-09-26,4,9,0,Lodhi Colony,7,3.08,BAKERY,31.6,51,48,53,111
2025-09-27,5,9,1,Karol Bagh,9,2.27,BEVERAGES,31.2,19,21,16,107
2025-09-28,6,9,1,Rohini,7,2.08,COOKED_MEALS,34.0,65,70,56,158
2025-09-29,0,9,0,Connaught Place,4,4.39,COOKED_MEALS,27.0,92,81,109,134
2025-09-30,1,9,0,Connaught Place,4,3.0,BEVERAGES,29.4,78,87,66,115
2025-10-01,2,10,0,Rohini,7,1.87,BAKERY,31.3,97,89,84,152
2025-10-02,3,10,0,Dwarka,5,2.61,PRODUCE_FRUITS,29.7,111,100,115,155
2025-10-03,4,10,0,Lodhi Colony,7,3.2,COOKED_MEALS,28.0,27,24,23,86
2025-10-04,5,10,1,Connaught Place,4,4.59,COOKED_MEALS,26.6,45,44,40,125
2025-10-05,6,10,1,Karol Bagh,9,1.54,BEVERAGES,27.6,45,39,38,142
2025-10-06,0,10,0,Connaught Place,4,2.03,BEVERAGES,29.0,105,113,112,135
2025-10-07,1,10,0,Connaught Place,4,3.53,BAKERY,33.6,76,68,83,108
2025-10-08,2,10,0,Karol Bagh,9,2.73,BEVERAGES,29.5,75,80,84,147
2025-10-09,3,10,0,Dwarka,5,3.99,OTHER,31.9,82,80,88,122
2025-10-10,4,10,0,South Extension,6,4.53,COOKED_MEALS,24.6,85,95,74,147
2025-10-11,5,10,1,Rohini,7,3.22,COOKED_MEALS,30.8,106,108,88,203
2025-10-12,6,10,1,Karol Bagh,9,2.97,COOKED_MEALS,28.5,80,77,82,173
2025-10-13,0,10,0,Connaught Place,4,3.89,DAIRY,26.5,15,16,15,54
2025-10-14,1,10,0,South Extension,6,2.9,BEVERAGES,24.6,22,24,18,72
2025-10-15,2,10,0,Lodhi Colony,7,2.09,BAKERY,31.7,108,112,104,164
2025-10-16,3,10,0,Lodhi Colony,7,2.98,DAIRY,27.8,102,116,117,171
2025-10-17,4,10,0,South Extension,6,2.09,PACKAGED_FOOD,27.9,31,33,27,90
2025-10-18,5,10,1,South Extension,6,4.0,PRODUCE_FRUITS,28.6,107,108,108,195
2025-10-19,6,10,1,Connaught Place,4,2.01,BAKERY,33.4,107,115,86,173
2025-10-20,0,10,0,Dwarka,5,2.88,OTHER,33.4,17,15,14,56
2025-10-21,1,10,0,Dwarka,5,3.82,COOKED_MEALS,26.4,20,19,17,72
2025-10-22,2,10,0,Lajpat Nagar,8,3.99,OTHER,24.6,79,90,70,152
